id,domain_name,is_malicious,first_seen,last_seen,organization_id
689,wmiapcservice.com,1,,,25
690,www.microsoft365.sangellobrighthouse.com,1,,,25
691,esanojinjasvc.com,1,,,25
692,msoffice.365cloudz.esanojinjasvc.com,1,,,25
693,serverchuchuchachawin.bond,1,,,27
694,certstorein.shop,1,,,27
695,defenceindia.site,1,,,27
696,sharmaxme11.org,1,,,27
697,workplacegov.online,1,,,27
698,chuchuchachawin.bond,1,,,27
699,chuchuchacha.shop,1,,,27
700,chuchuchachawin.sbs,1,,,27
701,chuchuchacha.xyz,1,,,27
702,sharemaxme66.net,1,,,27
703,startmenuexperiencehost.ydns.eu,1,,,28
704,oque2025.mysynology.net,1,,,28
